Вакансия,URL,Компания,Описание
DevOps инженер,https://ekaterinburg.hh.ru/vacancy/31054878?query=python, Softline,"Исследовательские и практические работы по построению и интеграции модулей платформы автоматизации и управления процессами. Совместная работа с разработчиками по анализу... Владение script-языками системного администрирования, включая python. Опыт развертывания и администрирования JVM приложений. Опыт работы с высоконагруженными и высокодоступными системами. "
DevOps Specialist,https://ekaterinburg.hh.ru/vacancy/31431424?query=python, ANCOR FinTech,"Implementing Continuous Integration, Delivery, and Deployment. Evangelizing of the latest DevOps practices. Participating in DevOps transformation projects. Sharing your knowledge... Automating builds and deployments with Maven, Grunt, Gradle, Jenkins, and others. Scripting in Python, Ruby, Shell, Groovy, and JSON. "
Стажер-разработчик (ABAP/Java/RPA) - Департамент Консультирования,https://ekaterinburg.hh.ru/vacancy/30845157?query=python, Deloitte,"Участие в местных и международных проектах в качестве разработчика с использованием SAP ABAP, Java, RPA и других языков программирования.  Готовность работать от 30 часов в неделю. Студент последних курсов бакалавриата или магистратуры, вчерашний выпускник, сотрудник с небольшим опытом. "
Системный инженер в проект DATAPK,https://ekaterinburg.hh.ru/vacancy/30771948?query=python, Уральский центр систем безопасности,"Моделирование стендов АСУ ТП: построение макета реальных АСУ ТП для «проигрывания» различных ситуаций. Исследование оборудования АСУ ТП (АРМы, серверы, коммутаторы... ...работы с документацией различного характера, знание технического английского. Знание промышленных протоколов, знакомство со SCADA и ПЛК. Знакомство с языком Python."
Руководитель группы машинного обучения,https://ekaterinburg.hh.ru/vacancy/31061416?query=python,ООО СкайДНС,"Компания SkyDNS в поиске руководителя группы машинного обучения . Группа занимается созданием систем машинного обучения и анализа Big Data для целей... Опыт разработки на объектно-ориентированном языке (Java, C++, C#, Python или др.) от 1 года. - Опыт работы с реляционными базами..."
Менеджер проектов,https://ekaterinburg.hh.ru/vacancy/30655093?query=python, Artsofte,"Что используем в наших проектах: 1. Задачи ставим в таск-трекере JIRA, документацию ведём в Confluence. — планировать работу по проектам... изучать новые технологии, помогать коллегам, делиться с ними знаниями и опытом. — умение оценивать и управлять рисками (ресурсными, технологическими, конъюнктурными). — "
PostgreSQL Administrator (Пермь),https://ekaterinburg.hh.ru/vacancy/31421318?query=python, IT-People.ru,Разработка и развитие отказоустойчивой и масштабируемой инфраструктуры PostgreSQL. Настройка инфраструктуры PostgreSQL для обеспечения большей производительности. Разработка и настройка автомасштабируемой инфраструктуры... 3k QPS (запросы в секунду). 34k DAU (ежедневные активные пользователи). 14k peak users (пользователей в пиковой нагрузке). 
Руководитель отдела разработки ПО,https://ekaterinburg.hh.ru/vacancy/29524058?query=python,ООО Айдеко,"Планирование и координация работ по разработке и сопровождению ПО. Управление командой разработчиков. У вас будет уникальная возможность на практике реализовать... ...решить проблемы и улучить продукты. Знание методологий управления проектами. Опыт управления командой разработчиков. Необходимые технические навыки: Linux, Python, C, Go."
BIM-координатор,https://ekaterinburg.hh.ru/vacancy/29860596?query=python,ООО АЛЬТЕК ПРОЕКТ СТРОЙ,"Поддержка корпоративной библиотеки семейств , документов. Оказывать поддержку пользователей. Производить адаптацию шаблонов. Координация совместной работы. Обучение приемам работы. Изучение языка python... Опыт не обязателен. Законченное/ не законченное высшие образование (желательно строительное образование). Желание развиваться, изучать новый материал. Стрессоустойчивость. Уверенный пользователь ПК. "
Oracle программист,https://ekaterinburg.hh.ru/vacancy/30967164?query=python, Точка,"Регулярно формировать вариативные выборки (PL/SQL Developer [SQL], Jupyter [Python]) на основании определяемых заказчиком критериев, с последующей проверкой и ответственностью... Имеешь высшее техническое или математическое образование. У тебя аналитический склад ума. Знаешь SQL, умение строить сложные запросы и оптимизировать их. "
Руководитель проекта разработки (средство защиты АСУТП),https://ekaterinburg.hh.ru/vacancy/31269044?query=python, Уральский центр систем безопасности,"DATAPK – один из ключевых продуктов Компании, средство для мониторинга состояния информационной безопасности АСУ ТП (автоматизированная система управления технологическими процессами).  Умеете писать код (C/С++, Go, Python, SQL), это упростит понимание продукта. Знакомы с сетевыми технологиями и серверными системами (Unix..."
Системный аналитик продукта ITSM 365,https://ekaterinburg.hh.ru/vacancy/31039637?query=python, NAUMEN,"Решение технических вопросов клиентов (“у меня не работает...”, “как настроить мой процесс...”). Консультирование, обучение и помощь в настройках при старте... У тебя есть начальные или продвинутые навыки программирования: Groovy, Python, JavaScript, С/С++, Java (любое из перечисленного). Знание основ SQL..."
Специалист 2-й линии службы технической поддержки,https://ekaterinburg.hh.ru/vacancy/30067141?query=python, Крона-КС,"Работа на 2-й линии службы технической поддержки. Прием и разрешение инцидентов от 1-й линии техподдержки по работе облачных... Навыки программирования (минимум на уровне программиста-стажера, стэк - Python/JavaScript). Умение разбираться в программном коде. Ответственность, высокая работоспособность, обучаемость. "
Архитектор,https://ekaterinburg.hh.ru/vacancy/27933917?query=python, Центральный Банк Российской Федерации,Проектирование технических решений по формализованным требованиям заказчика. Построение и управление архитектурой приложений. Контроль исполнения технических решений разработчиками. Оптимизация разработанных программных... Наличие высшего технического образования. Опыт от 5 лет разработки ПО. Опыт работы по Scrum. Необходимые теоретические знания: Необходимые практические знания...
Педагог дополнительного образования (Информационные технологии),https://ekaterinburg.hh.ru/vacancy/31398434?query=python,ОАО Российские железные дороги,"Организация командной работы. Выработка эффективного использования времени, соблюдение установленных правил и регламентов. Понимание предмета, формирование образовательного процесса. Адаптация учебных программ... Стыковка знаний и навыков, жизненного опыта и увлечений обучающихся с учебной программой и целями проектов. Обмен опытом с коллегами. "
